Name,Rank,Time,Domain,Edges,HipMCL,
ak2010,16,1.98061,Other,217098,HipMCL,
ak2010,64,1.83312,Other,217098,HipMCL,
ak2010,256,1.64098,Other,217098,HipMCL,
ak2010,1024,2.2308,Other,217098,HipMCL,
amazon0505,16,110.111,Consumer,4878874,HipMCL,
amazon0505,64,48.238,Consumer,4878874,HipMCL,
amazon0505,256,22.8984,Consumer,4878874,HipMCL,
amazon0505,1024,11.9277,Consumer,4878874,HipMCL,
amazon0601,16,108.529,Consumer,4886816,HipMCL,
amazon0601,64,43.7071,Consumer,4886816,HipMCL,
amazon0601,256,18.662,Consumer,4886816,HipMCL,
amazon0601,1024,9.31691,Consumer,4886816,HipMCL,
archaea,16,357.823,Protein,1,HipMCL,
archaea,64,116.309,Protein,2,HipMCL,
archaea,256,34.3439,Protein,2,HipMCL,
archaea,1024,15.9807,Protein,2,HipMCL,
bips98_606,16,0.357834,Other,34738,HipMCL,
bips98_606,64,0.35604,Other,34738,HipMCL,
bips98_606,256,0.644667,Other,34738,HipMCL,
bips98_606,1024,1.77798,Other,34738,HipMCL,
ca-AstroPh,16,4.43769,Collaboration,396160,HipMCL,
ca-AstroPh,64,1.77752,Collaboration,396160,HipMCL,
ca-AstroPh,256,0.90133,Collaboration,396160,HipMCL,
ca-AstroPh,1024,1.44927,Collaboration,396160,HipMCL,
citationCiteseer,16,69.7195,Citation,2313294,HipMCL,
citationCiteseer,64,22.7931,Citation,2313294,HipMCL,
citationCiteseer,256,8.0066,Citation,2313294,HipMCL,
citationCiteseer,1024,3.59012,Citation,2313294,HipMCL,
coAuthorsDBLP,16,46.0764,Citation,1955352,HipMCL,
coAuthorsDBLP,64,17.7238,Citation,1955352,HipMCL,
coAuthorsDBLP,256,7.05798,Citation,1955352,HipMCL,
coAuthorsDBLP,1024,3.73005,Citation,1955352,HipMCL,
com-Amazon,16,9.09458,Consumer,1851744,HipMCL,
com-Amazon,64,3.7873,Consumer,1851744,HipMCL,
com-Amazon,256,2.21489,Consumer,1851744,HipMCL,
com-Amazon,1024,2.08156,Consumer,1851744,HipMCL,
com-DBLP,16,48.4472,Collaboration,2099732,HipMCL,
com-DBLP,64,18.3757,Collaboration,2099732,HipMCL,
com-DBLP,256,7.02392,Collaboration,2099732,HipMCL,
com-DBLP,1024,3.44338,Collaboration,2099732,HipMCL,
coPapersCiteseer,16,295.261,Citation,32073440,HipMCL,
coPapersCiteseer,64,147.299,Citation,32073440,HipMCL,
coPapersCiteseer,256,85.3434,Citation,32073440,HipMCL,
coPapersCiteseer,1024,79.8328,Citation,32073440,HipMCL,
coPapersDBLP,16,,Collaboration,30491458,HipMCL,
